order_number,item_number,product_name,item_sales_units
22927979663,31008,Gel Hand Soap,1
22927979663,11025,Organic Extra Virgin Olive Oil,1
22927979663,13005,Organic Fair Trade Cold Brew Coffee Bag,1
22927979663,22003,Multi-Surface Cleaner,1
22927979663,53003,Pizza Cutter,1
22927979663,11010,2 Pack Organic Shells & White Cheddar,1
22921610572,31008,Gel Hand Soap,1
22921610572,53012,Ice Cream Scoop,1
22921610572,11029,Organic Raw Apple Cider Vinegar,1
22921610572,22003,Multi-Surface Cleaner,1
22921610572,33001,Peppermint Toothpaste,1
22921610572,22002,Toilet Bowl Cleaner,1
22921610572,33002,Peppermint Mouthwash,1
22921610572,32005,Super Absorbency Organic Cotton Tampons,1
22921610572,32004,Regular Absorbency Organic Cotton Tampons,1
22921610572,52003,2 Count Porcelain Rim Soup Bowl,1
22915365842,11004,Organic Crunchy Peanut Butter,1
22915365842,11027,Organic Strawberry Fruit Spread,1
22915365842,11016,Organic Virgin Coconut Oil,1
22915365842,11026,Organic Balsamic Vinegar of Modena,1
22915365842,11025,Organic Extra Virgin Olive Oil,1
22915365842,13006,Organic English Breakfast Black Tea,1
22915365842,11051,Organic Balsamic Vinaigrette Dressing,1
22912571296,11016,Organic Virgin Coconut Oil,5
22912571296,11019,Organic Dark Red Kidney Beans,6
22912571296,11055,Organic Black Bean & Corn Salsa,1
22912571296,11011,Organic Quinoa,2
22912571296,11058,Organic Roasted Garlic Pasta Sauce,1
22912571296,11056,Organic Tomato Basil Pasta Sauce,1
22912571296,11020,Organic Garbanzo Beans,6
22912571296,11057,Organic Arrabbiata Pasta Sauce,1
22911220460,11013,Organic Brown Basmati Rice,1
22911220460,13005,Organic Fair Trade Cold Brew Coffee Bag,1
22911220460,14013,Sea Salt Quinoa Chips,1
22911220460,14011,Toasted Coconut Cookie Thins,1
22911220460,11018,Organic Black Beans,3
22911220460,11011,Organic Quinoa,1
22911220460,11020,Organic Garbanzo Beans,3
22911220460,11049,Organic Teriyaki Sauce & Marinade ,1
22907363774,12017,Organic Unbleached All-Purpose Wheat Flour,1
22907363774,14035,Organic Crushed Pepper & Truffle Oil Popcorn,1
22907363774,22003,Multi-Surface Cleaner,1
22907363774,22001,Dish Soap ,1
22907363774,11054,Organic Thick & Chunky Salsa,1
22907363774,13007,Organic Green Tea,1
22907363774,11003,Organic Creamy Peanut Butter,1
22907363774,14007,Organic Blue Corn Tortilla Chips,2
22907363774,22002,Toilet Bowl Cleaner,1
22907363774,11057,Organic Arrabbiata Pasta Sauce,1
22907363774,11011,Organic Quinoa,1
22907363774,11052,Organic Sesame Ginger Dressing & Marinade,1
22907363774,11062,Thai Peanut Cooking Sauce,1
22907363774,11061,Gochujang Korean Sweet & Spicy Cooking Sauce,1
22907363774,11056,Organic Tomato Basil Pasta Sauce,1
22907363774,12016,Gluten Free Pancake and Waffle Mix,1
22907363774,33001,Peppermint Toothpaste,1
22907363774,31010,2 Pack Lip Balm,1
22907363774,33002,Peppermint Mouthwash,1
22907363774,14008,Organic Olive Oil & Sea Salt Popcorn,1
22907363774,11006,Organic Blue Corn Taco Shells,1
22906889698,53009,Can Opener,1
22906889698,13003,Organic Fair Trade Dark Roast Espresso Capsules,1
22906889698,31002,Daily Facial Moisturizer,1
22906889698,14009,Organic Aged White Cheddar Popcorn,1
22906065194,11004,Organic Crunchy Peanut Butter,1
22906065194,11012,Organic Long Grain Brown Rice,1
22906065194,11025,Organic Extra Virgin Olive Oil,1
22906065194,11016,Organic Virgin Coconut Oil,1
22906065194,31002,Daily Facial Moisturizer,1
22906065194,11026,Organic Balsamic Vinegar of Modena,1
22906065194,12016,Gluten Free Pancake and Waffle Mix,1
22906065194,11037,Organic Mayo,1
22906065194,11024,Organic Ketchup,1
22906065194,11021,Organic Maple Syrup,1
22906065194,11061,Gochujang Korean Sweet & Spicy Cooking Sauce,1
22906065194,12015,Gluten Free Blueberry Muffin Mix,1
22900720638,11016,Organic Virgin Coconut Oil,1
22900720638,11002,Organic Agave Nectar,1
22900720638,14004,Gummy Fruit Wedges,1
22892089060,22001,Dish Soap ,1
22892089060,11012,Organic Long Grain Brown Rice,1
22892089060,14012,Chocolate Chip Cookie Thins,1
22892089060,53021,Serrated Bread Knife,1
22892089060,31008,Gel Hand Soap,1
22892089060,22002,Toilet Bowl Cleaner,1
22892089060,13007,Organic Green Tea,1
22892089060,11025,Organic Extra Virgin Olive Oil,2
22892089060,22003,Multi-Surface Cleaner,1
22892089060,53020,Paring Knife,1
22892089060,11011,Organic Quinoa,2
22892089060,53019,Chef's Knife,1
22892089060,11001,Organic Honey,1
22892089060,52003,2 Count Porcelain Rim Soup Bowl,1
22875000589,11027,Organic Strawberry Fruit Spread,1
22875000589,11058,Organic Roasted Garlic Pasta Sauce,1
22875000589,11019,Organic Dark Red Kidney Beans,2
22875000589,11018,Organic Black Beans,2
22875000589,11048,Organic Tomato Sauce,2
22875000589,11056,Organic Tomato Basil Pasta Sauce,1
22875000589,11003,Organic Creamy Peanut Butter,1
22875000589,14023,Organic Raisins,1
22875000589,11029,Organic Raw Apple Cider Vinegar,1
22875000589,11007,Organic Yellow Mustard,1
22875000589,11001,Organic Honey,1
22875000589,11024,Organic Ketchup,1
22875000589,14022,Organic Whole Wheat Animal Cookies,1
22875000589,11008,Organic Dijon Mustard,1
22875000589,14008,Organic Olive Oil & Sea Salt Popcorn,1
22867455301,13007,Organic Green Tea,1
22867455301,11029,Organic Raw Apple Cider Vinegar,1
22867455301,11016,Organic Virgin Coconut Oil,1
22867455301,11020,Organic Garbanzo Beans,1
22867455301,11021,Organic Maple Syrup,1
22867455301,11013,Organic Brown Basmati Rice,1
22867455301,11025,Organic Extra Virgin Olive Oil,1
22867455301,33002,Peppermint Mouthwash,1
